,vintage.id,vintage.wine.winery.seo_name,vintage.wine.winery.name,vintage.wine.name,vintage.year,vintage.statistics.ratings_average,vintage.wine.region.name,vintage.wine.region.seo_name,vintage.wine.style.region.seo_name
13,1734865,chateau-charmail,Château Charmail,Haut-Médoc,2011,3.6,Haut-Médoc,haut-medoc,bordeaux
14,106704163,leon-barral,Leon Barral,Faugères,2016,4.0,Faugères,faugeres,languedoc-roussillon
15,1664002,chateau-fourcas-dupre,Château Fourcas Dupré,Listrac-Médoc,2011,3.7,Listrac-Médoc,listrac,bordeaux
16,2423690,mauvesin-barton,Château Mauvesin Barton,Moulis-en-Médoc,2011,3.7,Médoc,medoc,bordeaux
17,3594253,chateau-pibran,Château Pibran,Pauillac,2011,3.9,Pauillac,pauillac,bordeaux
18,36034119,coudoulis,Domaine Coudoulis,Hommage Lirac,2015,3.7,Lirac,lirac,rhone
19,3182420,chateau-de-fieuzal,Château de Fieuzal,Pessac-Léognan Blanc,2011,4.1,Pessac-Léognan,pessac-leognan,bordeaux
20,3032053,chateau-smith-haut-lafitte,Château Smith Haut-Lafitte,Le Petit Haut Lafitte Pessac-Léognan,2011,3.9,Pessac-Léognan,pessac-leognan,bordeaux
21,2506172,chateau-la-cabanne,Château La Cabanne,Pomerol,2011,3.9,Pomerol,pomerol,bordeaux
22,1721350,nenin,Château Nénin,Pomerol,2011,3.9,Pomerol,pomerol,bordeaux
23,1862575,chateau-la-pointe,Château La Pointe,Pomerol,2011,3.9,Pomerol,pomerol,bordeaux
24,4377959,chteau-fonplgade,Château Fonplégade,Fleur de Fonplégade Saint-Emilion,2011,3.8,Saint-Émilion,saint-emilion,bordeaux
0,3683633,chateau-mouton-rothschild,Château Mouton Rothschild,Pauillac (Premier Grand Cru Classé),2011,4.5,Pauillac,pauillac,bordeaux
1,6078689,denis-durantou,Denis Durantou,Château Montlandrie Castillon - Côtes de Bordeaux,2011,3.8,Castillon - Côtes de Bordeaux,cotes-de-castillon,bordeaux
2,1734865,chateau-charmail,Château Charmail,Haut-Médoc,2011,3.6,Haut-Médoc,haut-medoc,bordeaux
3,106704163,leon-barral,Leon Barral,Faugères,2016,4.0,Faugères,faugeres,languedoc-roussillon
4,1664002,chateau-fourcas-dupre,Château Fourcas Dupré,Listrac-Médoc,2011,3.7,Listrac-Médoc,listrac,bordeaux
5,2423690,mauvesin-barton,Château Mauvesin Barton,Moulis-en-Médoc,2011,3.7,Médoc,medoc,bordeaux
6,3594253,chateau-pibran,Château Pibran,Pauillac,2011,3.9,Pauillac,pauillac,bordeaux
7,36034119,coudoulis,Domaine Coudoulis,Hommage Lirac,2015,3.7,Lirac,lirac,rhone
8,3182420,chateau-de-fieuzal,Château de Fieuzal,Pessac-Léognan Blanc,2011,4.1,Pessac-Léognan,pessac-leognan,bordeaux
9,3032053,chateau-smith-haut-lafitte,Château Smith Haut-Lafitte,Le Petit Haut Lafitte Pessac-Léognan,2011,3.9,Pessac-Léognan,pessac-leognan,bordeaux
10,2506172,chateau-la-cabanne,Château La Cabanne,Pomerol,2011,3.9,Pomerol,pomerol,bordeaux
11,1721350,nenin,Château Nénin,Pomerol,2011,3.9,Pomerol,pomerol,bordeaux
12,1862575,chateau-la-pointe,Château La Pointe,Pomerol,2011,3.9,Pomerol,pomerol,bordeaux
13,4377959,chteau-fonplgade,Château Fonplégade,Fleur de Fonplégade Saint-Emilion,2011,3.8,Saint-Émilion,saint-emilion,bordeaux
14,1841358,chateau-la-gaffeliere,Château La Gaffelière,Saint-Émilion Grand Cru (Premier Grand Cru Classé),2011,4.2,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
15,1987858,qvintvs,Château Quintus,Saint-Émilion Grand Cru,2011,3.9,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
16,4606190,chateau-lafaurie-peyraguey,Château Lafaurie-Peyraguey,Sauternes (Premier Grand Cru Classé),2011,4.1,Sauternes,sauternes,bordeaux
17,4053534,chateau-sanctus,Chateau Sanctus,Saint-Émilion Grand Cru,2011,4.0,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
18,14983665,fr-chateau-doisy-daene,Château Doisy-Daëne,Barsac (Grand Cru Classé),2012,4.0,Barsac,barsac,bordeaux
19,3050021,les-grands-chenes,Château Les Grands Chênes,Médoc,2012,3.6,Médoc,medoc,bordeaux
20,2150773,fr-chateau-darmailhac,Château d'Armailhac,Pauillac (Grand Cru Classé),2012,4.0,Pauillac,pauillac,bordeaux
21,2090150,chateau-grand-puy-ducasse,Château Grand-Puy Ducasse,Pauillac (Grand Cru Classé),2012,3.9,Pauillac,pauillac,bordeaux
22,4594953,chateau-olivier,Château Olivier,Pessac-Léognan Blanc (Grand Cru Classé de Graves),2012,4.0,Pessac-Léognan,pessac-leognan,bordeaux
23,156196917,faiveley,Faiveley,Gevrey-Chambertin 1er Cru 'Les Cazetiers',2017,4.0,Gevrey-Chambertin 1er Cru 'Les Cazetiers',gevrey-chambertin-les-cazetiers,cote-de-nuits
24,2258838,chateau-ferriere,Château Ferrière,Margaux (Grand Cru Classé),2012,3.8,Margaux,margaux,bordeaux
0,145147437,chateau-malartic-lagraviere,Château Malartic-Lagravière,Pessac-Léognan (Grand Cru Classé de Graves),2016,4.0,Pessac-Léognan,pessac-leognan,bordeaux
1,141372374,chateau-lanessan,Château Lanessan,Haut-Médoc,2016,3.6,Haut-Médoc,haut-medoc,bordeaux
2,142874828,chateau-fourcas-dupre,Château Fourcas Dupré,Listrac-Médoc,2016,3.7,Listrac-Médoc,listrac,bordeaux
3,90495412,durfort-vivens,Château Durfort-Vivens,Margaux (Grand Cru Classé),2016,4.1,Margaux,margaux,bordeaux
4,117474713,chateau-d-issan,Château d'Issan,Margaux (Grand Cru Classé),2016,4.2,Margaux,margaux,bordeaux
5,29884594,la-grange-des-peres,La Grange des Pères,Vin de Pays de l'Hérault,2015,4.4,Hérault,pays-dherault,languedoc-roussillon
6,1492826,chateau-pontet-canet,Château Pontet-Canet,Pauillac (Grand Cru Classé),2010,4.6,Pauillac,pauillac,bordeaux
7,2269800,chateau-beychevelle,Château Beychevelle,Saint-Julien (Grand Cru Classé),2013,3.9,Saint-Julien,saint-julien,bordeaux
